390	Davis, Jesse	Jesse Davis
391	Davis, Mike	Mike Davis
392	Davis, Nolan	Nolan Davis
393	Davis, Paul	Paul Davis
394	Davis, Shelby	Shelby Davis
395	DeAlwis, Varuna	Varuna DeAlwis
396	DeBenedictis, Erik P.	Erik P. DeBenedictis
397	DeHon, André	André DeHon
398	DeLuca, Cecelia	Cecelia DeLuca
399	DeMatteis, J.	J. DeMatteis
400	Dean, Tony	Tony Dean
401	Deaton, Sean	Sean Deaton
402	Dechev, Damian	Damian Dechev
403	Deelman, Ewa	Ewa Deelman
404	Delves, Mike	Mike Delves
405	Demers, Robert	Robert Demers
406	Deming, Ross	Ross Deming
407	Dempsey, Gregory	Gregory Dempsey
408	Derlery, Andreas	Andreas Derlery
409	Desai, Avinash	Avinash Desai
410	Desrochers, Michael	Michael Desrochers
411	Deutschbein, Calvin	Calvin Deutschbein
412	Devadas, Srinivas	Srinivas Devadas
413	Deveci, Mehmet	Mehmet Deveci
414	Devlin, Malachy	Malachy Devlin
415	Devulapalli, Ananth	Ananth Devulapalli
416	Dezan, Catherine	Catherine Dezan
417	Dicastillo, Miguel del	Miguel del Dicastillo
418	Dijk, Marten van	Marten van Dijk
419	Dillon, Tom	Tom Dillon
420	Dimitrov, Rossen	Rossen Dimitrov
421	Diniz, Pedro C.	Pedro C. Diniz
422	Dodson, Stephanie	Stephanie Dodson
423	Doering, Robert	Robert Doering
424	Doerr, M.	M. Doerr
425	Doncker, Elise de	Elise de Doncker
426	Dongarra, Jack	J. Dongarra|Jack Dongarra|Prof. Jack Dongarra
427	Donofrio, David	David Donofrio
428	Doroz, Yarkin	Yarkın Doröz
429	Doss, Nathan	Nathan Doss
430	Doud, Robert	Robert Doud
431	Dragone, Rocco	Rocco Dragone
432	Draper, Jeff	Jeff Draper
433	Duchaineau, Mark	Mark Duchaineau
434	Duggan, Jennie	Jennie Duggan
435	Dundar, Aysegul	Aysegul Dundar
436	Dunham, Mark	Mark Dunham
437	Dunlavy, Daniel M.	Daniel M. Dunlavy
438	Dunn, Eric	Eric Dunn
439	Dunn, Ian	Ian Dunn
440	Dunne, Edward	Edward Dunne
441	Duren, Russ	Russ Duren
442	Dysart, Timothy J.	Timothy J. Dysart
443	Dziedzic, Adam	Adam Dziedzic
444	D’Alberto, Paolo	Paolo D’Alberto
445	Eakman, Gregory	Gregory Eakman
446	Eames, Brandon	Brandon Eames
447	Edelman, Alan	Alan Edelman
448	Ediger, David	D. Ediger|David Ediger
449	Edwards, Glen	Glen Edwards
450	Edwards, H. Carter	H. Carter Edwards
451	Edwards, J. Marc	J. Marc Edwards
452	Edwards, Jonathan	Jonathan Edwards
453	Edwards, Lauren	Lauren Edwards
454	Egele, Manuel	Manuel Egele
455	Eibl, Patrick	Patrick Eibl
456	Eichinger, George III	George Eichinger III
457	Einfalt, Bruce	Bruce Einfalt
458	Ellcessor, Larry	Larry Ellcessor
459	Elmore, Aaron J.	Aaron Elmore|Aaron J. Elmore
460	Elton, Bracy	Bracy Elton
461	Emberley, Thomas	Thomas Emberley|Tom Emberley
462	Emeny, Sue	Sue Emeny
463	Eng, Karen	Karen Eng
464	Eng, Marsha	Marsha Eng
465	Engelmann, Christian	Christian Engelmann
466	Ennis, Ford	Ford Ennis
467	Enright, Douglas	Douglas Enright
468	Erb, David	David Erb
469	Ericson, Michael N.	Michael N. Ericson
470	Eskowitz, Michael	Michael Eskowitz
471	Evancich, N.	N. Evancich
472	Evans, Joseph	Joseph Evans
473	Ewy, Benjamin	Benjamin Ewy
474	Eyerman, Stijn	Stijn Eyerman
475	Ezick, James	James Ezick
476	Ezzati-jivan, Naser	Naser Ezzati-jivan
477	Fairbanks, James P.	James P. Fairbanks
478	Fakhry, Carl Tony	Carl Tony Fakhry
479	Faloutsos, Christos	Christos Faloutsos
480	Fang, Fang	Fang Fang
481	Fang, Xin	Xin Fang
482	Fanous, Brian	Brian Fanous
483	Farabaugh, Bert	Bert Farabaugh
484	Farabet, Clément	Clément Farabet
485	Fatica, Massimiliano	Massimiliano Fatica
486	Fayad, Diana	Diana Fayad
487	Fazekas, Joshua	Joshua Fazekas
488	Fedder, James	James Fedder
489	Feher, Ronald	Ronald Feher
490	Fehringer, Matthew	Matthew Fehringer
491	Fei, Yunsi	Yunsi Fei
492	Feldman, Steven	Steven Feldman
493	Feng, Keven	Keven Feng
494	Feo, John	John Feo
495	Fernandez, E. B.	E. B. Fernandez
496	Fernando, Joseph	Joseph Fernando
497	Few, Brian	Brian Few
498	Fields, Mitchell	Mitchell Fields
499	Fileggi, Larry	Larry Fileggi
500	Finnivan, Joseph	Joseph Finnivan
501	Fiore, Justin	Justin Fiore
502	Fisher, John III	John Fisher III
503	Fitzgerald, Dennis	Dennis Fitzgerald
504	Fitzharris, Michael	Michael Fitzharris
505	Flahive, Mary	Mary Flahive
506	Fletcher, Christopher W.	Christopher W. Fletcher
507	Fletcher, Duncan	Duncan Fletcher
508	Foley, J.	J. Foley
509	Fond, Timothy La	Timothy La Fond
510	Fontana, John	John Fontana
511	Ford, Robert	Robert Ford
512	Forsythe, Keith	Keith Forsythe
513	Foster, John	John Foster
514	Foti, Daniel	Daniel Foti
515	Fouts, Douglas	Douglas Fouts
516	Fox, James	James Fox
517	Fragalla, John	John Fragalla
518	Frampton, Keith	Keith Frampton
519	Franchetti, Franz	F. Franchetti|Franz Franchetti
520	Frank, Randall	Randall Frank
521	Franklin, Mark	Mark Franklin
522	Freeman, John	John Freeman
523	French, David	David French
524	French, Joseph	Joseph French
525	French, Matthew	Matthew French
526	Fridrich, Ty	Ty Fridrich
527	Fried, Stephen	Stephen Fried
528	Friedman, Scott	Scott Friedman
529	Friedmann, Amon	Amon Friedmann
530	Frigo, Jan	Jan Frigo
531	Frigo, Matteo	Matteo Frigo
532	Frincu, Marc	Marc Frincu
533	Frisch, Robert	Robert Frisch
534	Fritts, Jason	Jason Fritts
535	Fritz, Jason	Jason Fritz
536	Fryman, Joshua	Josh Fryman|Joshua Fryman
537	Fröning, Holger	Holger Fröning
538	Fuchs, Adam	Adam Fuchs
539	Fuhrmann, Daniel	Daniel Fuhrmann
540	Funk, Andrew	Andrew Funk|Andy Funk
541	Furber, Steve	Steve Furber
542	Furtek, Jeremy	Jeremy Furtek
543	Furtney, Mark	Mark Furtney
544	Gacic, Aca	Aca Gacic
545	Gadepally, Vijay	Vijay Gadepally
546	Gala, Charles	Charles Gala
547	Gale, Jeremiah	Jeremiah Gale
548	Gallagher, Robert	Robert Gallagher
549	Ganev, Ivan	Ivan Ganev
550	Ganne, Benoit	Benoit Ganne
551	Gao, Yang	Yang Gao
552	Gardiner, Judith	Judith Gardiner
553	Gardner, Gary	Gary Gardner
554	Garrett, Albert	Albert Garrett
555	Garrett, Charles	Charles Garrett
556	Gavin, Brendan	Brendan Gavin
557	Gay, Michael	Michael Gay
558	Gayen, Saurabh	Saurabh Gayen
559	Geaghan, Scott	Scott Geaghan
560	Gehm, Michael	Michael Gehm
561	Geis, Michael	Michael Geis
562	Gelernter, David	David Gelernter
563	Gentile, Richard	Richard Gentile|Rick Gentile
564	George, Alan D.	A. D. George|Alan George|Alan D. George
565	Geraci, James	James Geraci
566	Germann, Joseph	Joseph Germann
567	Gettings, Karen M. G. V.	Karen Gettings|Karen M. G. V. Gettings
568	Ghalwash, Haitham	Haitham Ghalwash
569	Ghiasi, Soheil	Soheil Ghiasi
570	Ghosh, Soumik	Soumik Ghosh
571	Giering, Michael	Michael Giering
572	Gilbert, Barry	Barry Gilbert
573	Gilbert, John	John Gilbert
574	Gill, Christopher	Christopher Gill
575	Giner, Joan Puig	Joan Puig Giner
576	Glaser, Eliot	Eliot Glaser
577	Glass, Kimberly	Kimberly Glass
578	Gleyzer, Vitaliy	Vitaliy Gleyzer
579	Goenaga, Miguel	Miguel Goenaga
580	Gokhale, Aniruddha	Aniruddha Gokhale
581	Gokhale, Maya	Maya Gokhale
582	Gokhale, Vinayak	Vinayak Gokhale
583	Golusky, John	John Golusky
584	Gomez, Kevin	Kevin Gomez
585	Gonzalez, Carlos	Carlos González
586	Gonzalez, Joseph	Joseph Gonzalez
